gemeinde;ort_id;ort
Mirow, Stadt;593;Leussow (Mirow, Stadt)
Peenehagen;709;Levenstorf (Peenehagen)
Dargun, Stadt;293;Levin (Dargun, Stadt)
Dargun, Stadt;294;Levin Werder (Dargun, Stadt)
Walow;863;Lexow (Walow)
Feldberger Seenlandschaft;333;Lichtenberg (Feldberger Seenlandschaft)
Friedland, Stadt;372;Liepen (Friedland, Stadt)
Gielow;398;Liepen (Gielow)
Hohen Wangelin;474;Liepen (Hohen Wangelin)
Lindenberg;556;Lindenberg (Lindenberg)
Userin;74;Lindenberg (Userin)
Demmin, Hansestadt;315;Lindenfelde (Demmin, Hansestadt)
Borrentin;180;Lindenhof (Borrentin)
Burg Stargard, Stadt;105;Lindenhof (Burg Stargard, Stadt)
Groß Miltzow;439;Lindow (Groß Miltzow)
Altentreptow, Stadt;143;Loickenzin (Altentreptow, Stadt)
Burg Stargard, Stadt;204;Loitz (Burg Stargard, Stadt)
Jabel;494;Loppin (Jabel)
Grabowhöfe;419;Louisenfeld (Grabowhöfe)
Galenbeck;390;Lübbersdorf (Galenbeck)
Penzlin, Stadt;256;Lübkow (Penzlin, Stadt)
Mölln;619;Lüdershof (Mölln)
Südmüritz;568;Ludorf (Südmüritz)
Golchen;122;Ludwigshöhe (Golchen)
Neuenkirchen;669;Luisenhof (Neuenkirchen)
Moltzow;627;Lupendorf (Moltzow)
Rosenow;754;Luplow (Rosenow)
Klocksin;521;Lütgendorf (Klocksin)
Feldberger Seenlandschaft;341;Lüttenhagen (Feldberger Seenlandschaft)
Neuenkirchen;81;Magdalenenhöh (Neuenkirchen)
Hohen Wangelin;477;Malkwitz (Hohen Wangelin)
Penzlin, Stadt;249;Mallin (Penzlin, Stadt)
Fincken;92;Marienhof (Fincken)
Lindetal;564;Marienhof (Lindetal)
Wolde;128;Marienhof (Wolde)
Gnevkow;124;Marienhöhe (Gnevkow)
Penzlin, Stadt;269;Marihn (Penzlin, Stadt)
Ivenack;486;Markow (Ivenack)
Moltzow;630;Marxhagen (Moltzow)
Eldetal;585;Massow (Eldetal)
Schönhausen;778;Matzdorf (Schönhausen)
Kummerow;29;Maxfelde (Kummerow)
Feldberger Seenlandschaft;350;Mechow (Feldberger Seenlandschaft)
Nossendorf;700;Medrow (Nossendorf)
Meesiger;587;Meesiger (Meesiger)
Torgelow am See;110;Meierei (Torgelow am See)
Melz;589;Melz (Melz)
Borrentin;181;Metschow (Borrentin)
Woldegk, Stadt;911;Mildenitz (Woldegk, Stadt)
Pripsleben;729;Miltitzwalde (Pripsleben)
Peenehagen;717;Minenhof (Peenehagen)
Leizen;551;Minzow (Leizen)
Kittendorf;504;Mittelhof (Kittendorf)
Möllenbeck;608;Möllenbeck (Möllenbeck)
Möllenhagen;618;Möllenhagen (Möllenhagen)
Penzlin, Stadt;262;Mollenstorf (Penzlin, Stadt)
Mölln;622;Mölln (Mölln)
Borrentin;182;Moltzahn (Borrentin)
Moltzow;631;Moltzow (Moltzow)
Alt Schwerin;35;Mönchbusch (Alt Schwerin)
Eldetal;935;Mönchshof (Eldetal)
Burow;210;Mühlenhagen (Burow)
Neddemin;633;Neddemin (Neddemin)
Neetzka;635;Neetzka (Neetzka)
Basedow;19;Neu Basedow (Basedow)
Dargun, Stadt;231;Neubauhof (Dargun, Stadt)
Stavenhagen, Reuterstadt, Sta*;811;Neubauhof (Stavenhagen, Reuterstadt, Sta*)
Bredenfelde;283;Neu Bredenfelde (Bredenfelde)
Wokuhl-Dabelow;67;Neubrück (Wokuhl-Dabelow)
Wustrow;43;Neu Canow (Wustrow)
Dargun, Stadt;1659;Neu Darbein (Dargun, Stadt)
Wustrow;42;Neu Drosedow (Wustrow)
Wulkenzin;939;Neuendorf (Wulkenzin)
Altenhagen;137;Neuenhagen (Altenhagen)
Neuenkirchen;668;Neuenkirchen (Neuenkirchen)
Waren (Müritz), Stadt;869;Neu Falkenhagen (Waren (Müritz), Stadt)
Jabel;493;Neu Gaarz (Jabel)
Lärz;89;Neu Gaarz (Lärz)
Feldberger Seenlandschaft;328;Neugarten (Feldberger Seenlandschaft)
Fünfseen;31;Neu Grüssow (Fünfseen)
Basedow;18;Neuhäuser (Basedow)
Blankensee;55;Neuhof (Blankensee)
Feldberger Seenlandschaft;342;Neuhof (Feldberger Seenlandschaft)
Klocksin;1681;Neuhof (Klocksin)
Penzlin, Stadt;276;Neuhof (Penzlin, Stadt)
Stavenhagen, Reuterstadt, Sta*;817;Neu Jürgensdorf (Stavenhagen, Reuterstadt, Sta*)
Cölpin;222;Neu Käbelich (Cölpin)
Kentzlin;3;Neu Kentzlin (Kentzlin)
Eldetal;82;Neukrug (Eldetal)
Malchin, Stadt;575;Neu Panstorf (Malchin, Stadt)
Wulkenzin;944;Neu Rhäse (Wulkenzin)
Klocksin;522;Neu Sapshagen (Klocksin)
Schloen-Dratow;768;Neu Schloen (Schloen-Dratow)
Peenehagen;711;Neu Schönau (Peenehagen)
Schönbeck;125;Neu Schönbeck (Schönbeck)
Sommersdorf;7;Neu Sommersdorf (Sommersdorf)
Stuer;821;Neu Stuer (Stuer)
Pripsleben;133;Neuwalde (Pripsleben)
Wustrow;946;Neu Wustrow (Wustrow)
Neverin;698;Neverin (Neverin)
Nossendorf;703;Nossendorf (Nossendorf)
Nossentiner Hütte;706;Nossentiner Hütte (Nossentiner Hütte)
Silz;802;Nossentin (Silz)
Schloen-Dratow;112;Oberschloen (Schloen-Dratow)
Carpin;286;Oberzinow (Carpin)
Woldegk, Stadt;906;Oertzenhof (Woldegk, Stadt)
Kittendorf;502;Oevelgünde (Kittendorf)
Grünow;461;Ollendorf (Grünow)
Woldegk, Stadt;930;Oltschlott (Woldegk, Stadt)
Alt Schwerin;33;Ortkrug (Alt Schwerin)
Wustrow;41;Pälitzhof (Wustrow)
Grabowhöfe;423;Panschenhagen (Grabowhöfe)
Woldegk, Stadt;905;Pasenow (Woldegk, Stadt)
Penzlin, Stadt;250;Passentin (Penzlin, Stadt)
Klein Vielen;511;Peckatel (Klein Vielen)
Gielow;22;Peenhäuser (Gielow)
Hohenmocker;468;Peeselin (Hohenmocker)
Mirow, Stadt;601;Peetsch (Mirow, Stadt)
Wesenberg, Stadt;47;Pelzkuhl (Wesenberg, Stadt)
Penkow;719;Penkow (Penkow)
Kletzin;516;Pensin (Kletzin)
Borrentin;183;Pentz (Borrentin)
Fünfseen;30;Petersdorf (Fünfseen)
Woldegk, Stadt;721;Petersdorf (Woldegk, Stadt)
Woldegk, Stadt;918;Pfarrhof (Woldegk, Stadt)
Altenhagen;135;Philippshof (Altenhagen)
Kratzeburg;534;Pieverstorf (Kratzeburg)
Breesen;188;Pinnow (Breesen)
Malchin, Stadt;323;Pinnow (Malchin, Stadt)
Malchin, Stadt;13;Pisede (Malchin, Stadt)
Lindetal;560;Plath (Lindetal)
Datzetal;300;Pleetz (Datzetal)
Trollenhagen;827;Podewall (Trollenhagen)
Schönbeck;770;Poggendorf (Schönbeck)
Göhren-Lebbin;408;Poppentin (Göhren-Lebbin)
Pragsdorf;723;Pragsdorf (Pragsdorf)
Neustrelitz, Stadt;695;Prälank (Neustrelitz, Stadt)
Stavenhagen, Reuterstadt, Sta*;810;Pribbenow (Stavenhagen, Reuterstadt, Sta*)
Priborn;725;Priborn (Priborn)
Priepert;726;Priepert (Priepert)
Hohenzieritz;479;Prillwitz (Hohenzieritz)
Pripsleben;727;Pripsleben (Pripsleben)
Bartow;154;Pritzenow (Bartow)
Gnevkow;401;Prützen (Gnevkow)
Kuckssee;245;Puchow (Kuckssee)
Blumenholz;995;Pulvermühle (Blumenholz)
Möllenbeck;610;Quadenschönfeld (Möllenbeck)
Mirow, Stadt;37;Qualzow (Mirow, Stadt)
Burg Stargard, Stadt;205;Quastenberg (Burg Stargard, Stadt)
Kletzin;515;Quitzerow (Kletzin)
Priepert;46;Radensee (Priepert)
Kuckssee;96;Rahnenfelde (Kuckssee)
Moltzow;629;Rambow (Moltzow)
Friedland, Stadt;365;Ramelow (Friedland, Stadt)
Demmin, Hansestadt;305;Randow (Demmin, Hansestadt)
Schönbeck;771;Rattey (Schönbeck)
Rechlin;738;Rechlin-Nord (Rechlin)
Rechlin;1344;Rechlin (Rechlin)
Woldegk, Stadt;931;Rehberg (Woldegk, Stadt)
Kargow;241;Rehhof (Kargow)
Wolde;903;Reinberg (Wolde)
Dargun, Stadt;295;Remershof (Dargun, Stadt)
Malchin, Stadt;579;Remplin (Malchin, Stadt)
Möllenhagen;616;Rethwisch (Möllenhagen)
Malchin, Stadt;571;Retzow (Malchin, Stadt)
Rechlin;740;Retzow (Rechlin)
Altentreptow, Stadt;992;Reutershof (Altentreptow, Stadt)
Stavenhagen, Reuterstadt, Sta*;818;Reutershof (Stavenhagen, Reuterstadt, Sta*)
Burg Stargard, Stadt;206;Riepke (Burg Stargard, Stadt)
Faulenrost;326;Rittermannshagen (Faulenrost)
Faulenrost;21;Rittmannshagen Hof (Faulenrost)
Ritzerow;744;Ritzerow (Ritzerow)
Möllenhagen;615;Rockow (Möllenhagen)
Röckwitz;751;Röckwitz (Röckwitz)
Blankensee;168;Rödlin (Blankensee)
Göhren-Lebbin;412;Roez (Göhren-Lebbin)
Datzetal;301;Roga (Datzetal)
Fünfseen;379;Rogeez (Fünfseen)
Brunn;197;Roggenhagen (Brunn)
Mirow, Stadt;592;Roggentin (Mirow, Stadt)
Galenbeck;10;Rohrkrug (Galenbeck)
Golchen;121;Rohrsoll (Golchen)
Utzedel;838;Roidin (Utzedel)
Blankensee;53;Rollenhagen (Blankensee)
Altentreptow, Stadt;140;Rosemarsow (Altentreptow, Stadt)
Lindetal;561;Rosenhagen (Lindetal)
Feldberger Seenlandschaft;348;Rosenhof (Feldberger Seenlandschaft)
Rosenow;757;Rosenow (Rosenow)
Staven;809;Rossow (Staven)
Groß Teetzleben;134;Rottenhof (Groß Teetzleben)
Jürgenstorf;497;Rottmannshagen (Jürgenstorf)
Holldorf;482;Rowa (Holldorf)
Waren (Müritz), Stadt;868;Rügeband (Waren (Müritz), Stadt)
Sponholz;805;Rühlow (Sponholz)
Ankershagen;152;Rumpshagen  (Ankershagen)
Groß Plasten;451;Rundling (Groß Plasten)
Zettemin;952;Rützenfelde (Zettemin)
Burg Stargard, Stadt;207;Sabel (Burg Stargard, Stadt)
Datzetal;396;Sadelkow (Datzetal)
Malchin, Stadt;578;Salem (Malchin, Stadt)
Datzetal;299;Salow (Datzetal)
Kublank;541;Sandberg (Kublank)
Galenbeck;389;Sandhagen (Galenbeck)
Hohenzieritz;480;Sandmühle (Hohenzieritz)
Siedenbrünzow;789;Sanzkow (Siedenbrünzow)
Sarow;761;Sarow (Sarow)
Fünfseen;380;Satow (Fünfseen)
Fünfseen;382;Satow-Hütte (Fünfseen)
Woldegk, Stadt;1030;Scharnhorst (Woldegk, Stadt)
Malchin, Stadt;580;Scharpzow (Malchin, Stadt)
Mirow, Stadt;51;Schillersdorf (Mirow, Stadt)
Neukalen, Stadt;672;Schlakendorf (Neukalen, Stadt)
Feldberger Seenlandschaft;332;Schlicht (Feldberger Seenlandschaft)
Schloen-Dratow;111;Schloener Kolonie (Schloen-Dratow)
Schloen-Dratow;769;Schloen (Schloen-Dratow)
Vollrathsruhe;858;Schloß Grubenhagen (Vollrathsruhe)
Torgelow am See;825;Schmachthagen (Torgelow am See)
Wolde;904;Schmiedenfelde (Wolde)
Schönbeck;773;Schönbeck (Schönbeck)
Schönfeld;774;Schönfeld (Schönfeld)
Schönhausen;781;Schönhausen (Schönhausen)
Feldberger Seenlandschaft;335;Schönhof (Feldberger Seenlandschaft)
Neukalen, Stadt;676;Schönkamp (Neukalen, Stadt)
Siedenbollentin;786;Schönkamp (Siedenbollentin)
Neukalen, Stadt;677;Schorrentin (Neukalen, Stadt)
Tützpatz;831;Schossow (Tützpatz)
Faulenrost;24;Schwabendorf (Faulenrost)
Friedland, Stadt;364;Schwanbeck (Friedland, Stadt)
Rosenow;753;Schwandt (Rosenow)
Dargun, Stadt;298;Schwarzenhof (Dargun, Stadt)
Kargow;240;Schwarzenhof (Kargow)
Peenehagen;710;Schwarzenhof (Peenehagen)
Schwarz;785;Schwarz (Schwarz)
Schloen-Dratow;767;Schwastorf (Schloen-Dratow)
Waren (Müritz), Stadt;870;Schwenzin (Waren (Müritz), Stadt)
Borrentin;184;Schwichtenberg (Borrentin)
Galenbeck;386;Schwichtenberg (Galenbeck)
Moltzow;625;Schwinkendorf (Moltzow)
Basedow;12;Seedorf (Basedow)
Demmin, Hansestadt;304;Seedorf (Demmin, Hansestadt)
Wustrow;44;Seewalde (Wustrow)
Gültz;462;Seltz (Gültz)
Klink;520;Sembzin (Klink)
Carpin;58;Serrahn (Carpin)
Demmin, Hansestadt;1663;Siebeneichen (Demmin, Hansestadt)
Siedenbollentin;787;Siedenbollentin (Siedenbollentin)
Siedenbrünzow;792;Siedenbrünzow (Siedenbrünzow)
Penzlin, Stadt;253;Siehdichum (Penzlin, Stadt)
Sietow;84;Sietow-Dorf (Sietow)
Sietow;798;Sietow (Sietow)
Silz;800;Silz Ausbau (Silz)
Silz;801;Silz (Silz)
Südmüritz;851;Solzow (Südmüritz)
Sommersdorf;803;Sommersdorf (Sommersdorf)
Grabowhöfe;420;Sommerstorf (Grabowhöfe)
Grabowhöfe;418;Sophienhof (Grabowhöfe)
Peenehagen;718;Sorgenlos (Peenehagen)
Nossentiner Hütte;705;Sparow (Nossentiner Hütte)
Kargow;242;Speck (Kargow)
Bollewick;174;Spitzkuhn (Bollewick)
Sponholz;807;Sponholz (Sponholz)
Mirow, Stadt;600;Starsow (Mirow, Stadt)
Stavenhagen, Reuterstadt, Sta*;816;Stavenhof (Stavenhagen, Reuterstadt, Sta*)
Staven;808;Staven (Staven)
Röbel/Müritz, Stadt;746;Steindamm (Röbel/Müritz, Stadt)
Carpin;1002;Steinmühle (Carpin)
Hohenmocker;473;Sternfeld (Hohenmocker)
Basedow;16;Stöckersoll (Basedow)
Möllenbeck;609;Stolpe (Möllenbeck)
Wesenberg, Stadt;888;Strasen (Wesenberg, Stadt)
Hohenmocker;470;Strehlow (Hohenmocker)
Walow;864;Strietfeld (Walow)
Dargun, Stadt;225;Stubbendorf (Dargun, Stadt)
Stuer;822;Stuer (Stuer)
Stuer;820;Stuer-Vorwerk (Stuer)
Stuer;1664;Stuer Winkel (Stuer)
Zislow;954;Suckow (Zislow)
Briggow;193;Sülten (Briggow)
Blankensee;52;Tannenhof (Blankensee)
Rosenow;756;Tarnowower Mühle (Rosenow)
Rosenow;755;Tarnow (Rosenow)
Basedow;20;Teerofen (Basedow)
Carpin;287;Teerofen (Carpin)
Mirow, Stadt;1019;Teerofen-Schillersdorf (Mirow, Stadt)
Hohenmocker;471;Tentzerow (Hohenmocker)
Burg Stargard, Stadt;208;Teschendorf (Burg Stargard, Stadt)
Utzedel;839;Teusin (Utzedel)
Altentreptow, Stadt;145;Thalberg (Altentreptow, Stadt)
Altentreptow, Stadt;1665;Thalberg Ausbau (Altentreptow, Stadt)
Carpin;219;Thurow (Carpin)
Nossendorf;701;Toitz (Nossendorf)
Groß Nemerow;104;Tollenseheim (Groß Nemerow)
Torgelow am See;823;Torgelow am See (Torgelow am See)
Feldberger Seenlandschaft;336;Tornowhof (Feldberger Seenlandschaft)
Sarow;759;Törpin (Sarow)
Moltzow;626;Tressow (Moltzow)
Feldberger Seenlandschaft;352;Triepkendorf (Feldberger Seenlandschaft)
Schönfeld;777;Trittelwitz (Schönfeld)
Lärz;91;Troja (Lärz)
Trollenhagen;830;Trollenhagen (Trollenhagen)
Altentreptow, Stadt;235;Trostfelde (Altentreptow, Stadt)
Golchen;120;Tückhude (Golchen)
Tützpatz;832;Tützpatz (Tützpatz)
Kriesow;537;Tüzen (Kriesow)
Kletzin;513;Ückeritz (Kletzin)
Groß Miltzow;440;Ulrichshof (Groß Miltzow)
Moltzow;628;Ulrichshusen (Moltzow)
Göhren-Lebbin;40;Untergöhren (Göhren-Lebbin)
Warrenzin;878;Upost (Warrenzin)
Blumenholz;171;Usadel (Blumenholz)
Userin;73;Useriner Mühle (Userin)
Userin;836;Userin (Userin)
Utzedel;842;Utzedel (Utzedel)
Siedenbrünzow;794;Vanselow (Siedenbrünzow)
Groß Plasten;844;Varchentin (Groß Plasten)
Verchen;849;Verchen (Verchen)
Grabowhöfe;425;Vielist (Grabowhöfe)
Rechlin;741;Vietzen (Rechlin)
Malchin, Stadt;11;Viezenhof (Malchin, Stadt)
Südmüritz;853;Vipperow (Südmüritz)
Woldegk, Stadt;926;Vogelsang (Woldegk, Stadt)
Voigtsdorf;856;Voigtsdorf (Voigtsdorf)
Nossendorf;702;Volksdorf (Nossendorf)
Vollrathsruhe;107;Vollrathsruhe (Vollrathsruhe)
Woldegk, Stadt;932;Vorheide (Woldegk, Stadt)
Rosenow;752;Voßfeld (Rosenow)
Jürgenstorf;498;Voßhagen (Jürgenstorf)
Userin;837;Voßwinkel (Userin)
Ritzerow;743;Wackerow (Ritzerow)
Dargun, Stadt;297;Wagun (Dargun, Stadt)
Demmin, Hansestadt;309;Waldberg (Demmin, Hansestadt)
Feldberger Seenlandschaft;354;Waldsee (Feldberger Seenlandschaft)
Walow;865;Walow (Walow)
Blankensee;56;Wanzka (Blankensee)
Möllenbeck;606;Warbende (Möllenbeck)
Sponholz;804;Warlin (Sponholz)
Warrenzin;877;Warrenzin (Warrenzin)
Neukalen, Stadt;674;Warsow (Neukalen, Stadt)
Blankensee;170;Watzkendorf (Blankensee)
Blumenholz;63;Weisdin (Blumenholz)
Feldberger Seenlandschaft;338;Weitendorf (Feldberger Seenlandschaft)
Ivenack;489;Weitendorf (Ivenack)
Burow;211;Weltzin (Burow)
Blumenholz;64;Wendfeld (Blumenholz)
Göhren-Lebbin;409;Wendhof (Göhren-Lebbin)
Malchin, Stadt;577;Wendischhagen (Malchin, Stadt)
Feldberger Seenlandschaft;330;Wendorf (Feldberger Seenlandschaft)
Möllenhagen;617;Wendorf (Möllenhagen)
Penzlin, Stadt;257;Werder (Penzlin, Stadt)
Werder;880;Werder (Werder)
Wildberg;890;Wildberg (Wildberg)
Bollewick;176;Wildkuhl (Bollewick)
Blumenholz;990;Wilhelminenhof (Blumenholz)
Woldegk, Stadt;919;Wilhelmshof (Woldegk, Stadt)
Wesenberg, Stadt;1013;Wilhelmshöh (Wesenberg, Stadt)
Wildberg;130;Wischershausen (Wildberg)
Galenbeck;393;Wittenborn (Galenbeck)
Feldberger Seenlandschaft;344;Wittenhagen (Feldberger Seenlandschaft)
Werder;881;Wodarg (Werder)
Woggersin;894;Woggersin (Woggersin)
Wokuhl-Dabelow;895;Wokuhl (Wokuhl-Dabelow)
Wolde;901;Wolde (Wolde)
Leizen;550;Woldzegarten (Leizen)
Warrenzin;879;Wolkow (Warrenzin)
Wildberg;891;Wolkow (Wildberg)
Borrentin;185;Wolkwitz (Borrentin)
Demmin, Hansestadt;306;Wotenick (Demmin, Hansestadt)
Feldberger Seenlandschaft;334;Wrechen (Feldberger Seenlandschaft)
Eldetal;937;Wredenhagen (Eldetal)
Mölln;621;Wrodow (Mölln)
Wulkenzin;941;Wulkenzin (Wulkenzin)
Stavenhagen, Reuterstadt, Sta*;814;Wüstgrabow (Stavenhagen, Reuterstadt, Sta*)
Penzlin, Stadt;254;Wustrow (Penzlin, Stadt)
Wustrow;947;Wustrow (Wustrow)
Wokuhl-Dabelow;66;Wutschendorf (Wokuhl-Dabelow)
Siedenbrünzow;790;Zachariae (Siedenbrünzow)
Blumenholz;1010;Zachow Försterei (Blumenholz)
Groß Nemerow;442;Zachow (Groß Nemerow)
Penzlin, Stadt;274;Zahren (Penzlin, Stadt)
Dargun, Stadt;233;Zarnekow (Dargun, Stadt)
Rechlin;735;Zartwitzer Hütte (Rechlin)
Rechlin;736;Zartwitz (Rechlin)
Blumenholz;1023;Zechow (Blumenholz)
Eldetal;949;Zepkow (Eldetal)
Zettemin;951;Zettemin (Zettemin)
Blumenholz;281;Ziegelei (Blumenholz)
Südmüritz;569;Zielow (Südmüritz)
Sietow;795;Zierzow (Sietow)
Mirow, Stadt;591;Zietlitz (Mirow, Stadt)
Carpin;59;Zinow (Carpin)
Hohenzieritz;478;Zippelow (Hohenzieritz)
Wesenberg, Stadt;883;Zirtow (Wesenberg, Stadt)
Zirzow;953;Zirzow (Zirzow)
Zislow;956;Zislow (Zislow)
Ivenack;487;Zolkendorf (Ivenack)
Userin;72;Zwenzow (Userin)
Wolde;900;Zwiedorf (Wolde)
